pH,Turbidity,Total Phosphorus (TP),Specific Conductance (Field),Water Temperature (Field),Total Suspended Solids (TSS),Nitrate (NO3-N),Ammonia (NH3-N),True Color,Total Organic Carbon (TOC),Total Dissolved Phosphorus (TDP),NOx (Calculated),Nitrite (NO2-N),Sulphate (SO4),Total Alkalinity,Chloride (Cl),Potassium (K)(Dissolved),Sodium (Na)(Dissolved),Magnesium (Mg)(Dissolved),Calcium (Ca)(Dissolved),Sodium Adsorption Ratio (SAR)(Calculated),Dissolved Oxygen (Field),Total Kjeldahl Nitrogen (TKN),Hardness,Fluoride (F),contaminated
8.2,16.0,0.017159999999999995,327.0,8.324400000000002,27.934,0.04978000000000004,0.05109999999999992,7.747000000000001,2.545000000000001,0.0034900000000000026,0.05078999999999993,0.005120000000000003,44.644,137.6,8.232000000000001,1.0439999999999998,7.58,13.927000000000003,47.858000000000004,1.3755000000000013,10.768900000000007,0.21261,177.0,0.2178000000000001,0
8.6,13.429700000000008,0.15,914.0,15.5,11.5,1.0,0.5,76.24099999999999,16.610999999999997,0.10083000000000002,1.0044099999999998,0.05308999999999995,94.1,376.0,31.9,151.6,89.1,11.8,28.5,19.8,8.713300000000002,2.487219999999998,215.39,0.17680000000000007,1
8.4,0.96,0.005,388.4,15.8,0.5,0.008,0.04,5.3,2.8,0.002,0.008,0.002,22.5,196.7,4.0,1.8,9.7,16.4,54.6,1.63,8.1,0.174,199.0,0.13,1
8.2,0.37,0.003,417.9,3.495,2.0,0.095,0.05,2.8,0.9,0.003,0.095,0.005,72.0,150.0,1.6,0.5,2.3,17.0,60.4,0.37,11.36,0.1,221.0,0.32,0
8.4,0.87,0.005,399.3,14.6,2.0,0.037,0.05,3.3,1.5,0.002,0.04,0.005,54.4,150.0,6.4,0.8,4.7,17.0,55.1,0.79,9.28,0.22,199.0,0.27,1
8.1,0.47,0.002,438.0,0.3,0.5,0.144,0.02,1.0,0.7,0.002,0.144,0.002,71.9,157.3,1.8,0.8,2.8,16.0,63.8,0.44,11.4,0.12,232.0,0.26,0
8.30599999999999,5.0629,0.002,341.74,11.0,6.022999999999999,0.065,0.04749999999999996,7.114999999999994,2.399999999999999,0.0017700000000000014,0.065,0.005,40.7,146.00000000000003,7.393599999999997,1.0979999999999994,8.196000000000005,14.549999999999995,50.474999999999994,1.4372999999999998,10.1404,0.21689999999999995,185.21,0.19710000000000005,0
8.4,0.62,0.003,343.3,7.3,0.5,0.217,0.05,1.0,1.0,0.002,0.217,0.003,30.0,158.1,0.46,0.63,2.6,12.0,46.0,0.48,11.88,0.1,187.0,0.12,1
7.9,21.0,0.087,3116.0,-0.1,11.6,1.8,0.31,16.0,9.5,0.042,1.8,0.005,336.0,311.0,601.0,10.7,447.0,59.2,104.0,49.6,10.48,1.3,503.0,0.25,1
8.1,2.87,0.008,417.2,9.8,4.5,0.11,0.04,1.0,1.0,0.002,0.11,0.002,65.0,147.1,6.1,1.0,5.6,16.0,58.0,0.92,11.0,0.176,210.0,0.2,0
8.3,0.91,0.011,352.6,16.5,0.5,1.303,0.04,4.7,1.6,0.006,1.337,0.034,45.6,126.1,10.2,1.9,9.7,14.4,43.3,1.81,8.1,0.255,167.0,0.18,1
8.4,15.6,0.081,1316.0,8.7,22.7,0.99,0.05,19.6,8.1,0.01,0.999,0.009,280.0,315.1,84.0,6.2,141.4,54.0,76.3,17.5,10.12,1.38,411.0,0.21,1
8.2,15.9,0.015,306.4,10.1,21.4,0.052,0.02,4.7,2.4,0.006,0.052,0.002,34.7,132.07900000000006,1.1,0.5,1.8,11.7,45.4,0.34,9.5,0.14888999999999997,164.45,0.21,1
8.4,3.5,0.154,1527.0,0.1,2.6,0.78,0.05,24.0,11.4,0.126,0.781,0.005,258.0,348.0,174.0,8.7,208.0,50.6,67.0,27.1,11.78,1.09,359.0,0.23,1
8.4,0.71,0.004,290.3,16.0,0.5,0.064,0.05,1.0,0.8,0.002,0.064,0.003,36.0,119.4,2.4,0.5,2.8,13.4,39.8,0.54,8.7,0.11,148.0,0.12,1
8.4,27.1,0.036,386.2,15.4,34.5,0.101,0.02,4.9,2.2,0.008,0.101,0.002,54.02299999999998,150.48600000000002,21.904,1.6550000000000002,19.410999999999994,16.432000000000002,55.61700000000002,3.2386999999999997,7.0,0.37565999999999994,206.37,0.22460000000000008,1
8.4,1.5,0.005,334.7,8.2,2.1,0.111,0.05,2.0,0.8,0.003,0.111,0.005,51.6,131.0,4.4,0.5,3.2,14.2,46.0,0.58,11.29,0.1,173.0,0.14,0
8.5,2.5,0.004,255.0,11.646999999999998,2.5,0.074,0.02,3.2,1.0,0.002,0.074,0.002,53.91899999999999,147.03500000000003,5.410000000000004,0.9366000000000002,5.229999999999995,16.127,53.94500000000001,0.8856,9.490599999999999,0.13626000000000002,203.11,0.27210000000000006,0
8.2,1.05,0.006,470.1,0.9,3.3,0.346,0.06,1.0,1.5,0.002,0.346,0.002,55.9,178.1,13.6,1.0,5.6,17.1,59.0,0.91,13.1,0.14,240.0,0.28,1
7.9,0.98,0.006,642.0,0.3,0.5,0.083,0.08,4.4,3.6,0.002,0.083,0.002,21.0,321.1,13.0,2.4,23.0,25.0,84.0,3.12,12.1,0.216,311.0,0.11,0
8.2,28.7,0.248,965.0,4.0,57.3,0.685,0.9,74.4,12.9,0.141,0.685,0.08,89.5,219.6,119.7,12.6,110.4,34.5,53.9,16.6,11.3,1.539,245.0,0.2554000000000002,1
8.2,25.8,0.037,304.1,2.6,29.0,0.081,0.02,30.5,7.575999999999998,0.011,0.081,0.002,18.494999999999994,194.787,18.522999999999996,2.961,19.176000000000002,16.788999999999998,56.416000000000004,3.2029,11.8,0.39679000000000003,198.88,0.10439999999999997,1
8.3,11.0,0.01669999999999998,331.13599999999985,10.05431,16.503000000000004,0.06496000000000013,0.047099999999999954,10.05,2.757999999999999,0.0034400000000000025,0.06512000000000012,0.005020000000000004,43.61199999999999,141.8,7.970999999999998,1.015,7.157000000000006,13.958,47.446000000000005,1.2982000000000002,10.027400000000002,0.20609999999999992,176.0,0.21310000000000012,1
8.4,0.44,0.005,355.7,0.0,0.5,0.129,0.02,1.0,0.7,0.002,0.129,0.002,71.57700000000004,153.09599999999998,32.534000000000006,1.212,19.120999999999995,18.181999999999995,59.021000000000015,3.0720000000000005,11.6,0.14714,225.35,0.26690000000000014,0
8.3,2.9,0.005,304.6,12.408,3.7,0.106,0.05,2.6,1.4,0.002,0.106,0.005,38.1,122.0,1.9,0.5,2.2,13.6,41.0,0.41,9.76,0.12,158.0,0.12,0
8.1,1.53,0.002,373.0,0.2,1.1,0.084,0.02,1.0,0.6,0.002,0.084,0.002,71.2,165.6,1.9,0.8,2.6,16.7,62.3,0.41,10.3,0.15,265.0,0.3,0
8.2,1.55,0.004,353.0,0.0,3.1,0.147,0.1,1.0,0.7,0.001,0.147,0.003,43.7,142.0,2.3,0.6,2.6,14.2,46.0,0.47,13.9,0.1,179.0,0.14,0
8.3,0.59,0.002,381.5,11.5,0.5,0.058,0.04,2.6,0.9,0.002,0.058,0.002,54.0,160.2,1.5,0.7,2.4,15.6,58.7,0.39,9.4,0.077,211.0,0.28,0
8.4,2.0,0.008,309.0,7.2,2.0,0.111,0.05,2.0,0.8,0.005,0.114,0.005,48.3,130.0,1.9,0.5,2.2,13.9,46.9,0.4,11.44,0.1,175.0,0.15,0
8.0,8.02,0.055,452.1,1.2,2.0,1.3,0.14,4.2,1.8,0.03,1.344,0.044,56.0,139.2,27.0,2.3,22.0,16.0,52.0,3.77,11.9,0.506,193.0,0.17,1
8.4,2.25,0.004,315.2,4.4,3.0,0.094,0.02,1.0,0.7,0.0021950000000000016,0.094,0.002,39.7,123.4,2.0,0.5,2.3,12.7,45.8,0.43,12.1,0.06,160.0,0.12,0
8.3,11.0,0.024,329.8,13.5,10.8,0.267,0.05,8.4,2.4,0.007,0.27,0.005,38.1,129.0,6.9,1.0,6.5,13.4,42.8,1.23,10.04,0.22,163.0,0.14,1
8.3,1.32,0.005,340.2,13.1,2.3,0.012,0.02,1.0,1.4,0.0024800000000000017,0.012,0.002,54.170999999999985,152.83100000000005,14.69800000000001,1.1130000000000002,10.566999999999997,17.204000000000004,55.349999999999994,1.771000000000001,8.9,0.14789000000000005,205.12,0.2614,0
8.2,6.8,0.036,1225.0,13.742,15.4,1.49,0.05,10.9,5.0,0.007,1.5,0.009,185.0,329.0,108.0,5.6,80.1,61.6,96.7,9.0,8.62,0.52,495.0,0.23,1
8.1,101.94599999999998,0.22,286.0,3.7,142.0,0.6418260000000003,0.5,38.956999999999994,9.725,0.057940000000000005,0.6614580000000001,0.05439399999999996,7.5,149.0,5.2,3.3,8.5,9.9,39.3,1.71,12.909500000000003,0.9128000000000004,139.98,0.08673,1
8.3,0.14,0.002,352.9,1.1,2.0,0.247,0.05,2.0,0.4,0.002,0.247,0.005,38.6,148.0,0.4,0.6,2.8,14.3,50.7,0.49,11.71,0.1,185.0,0.13,0
8.2,5.23,0.021,522.2,0.1,6.0,0.05,0.1,13.9,5.0,0.008,0.05,0.0044,19.0,244.1,20.0,3.6,24.0,20.0,65.0,3.68,14.0,0.237,242.0,0.12,0
8.5,10.819100000000002,0.17,1030.0,5.6,18.0,0.6,0.9,38.94199999999999,10.863,0.09176000000000001,0.6000100000000008,0.08685000000000008,109.0,442.8,19.4,10.4,80.2,50.6,81.5,9.87,11.568800000000001,1.05,411.78,0.23960000000000012,1
8.2,4.96,0.014,400.5,0.6,17.0,0.11,0.1,4.5,1.4,0.004,0.11,0.0044,69.0,136.8,2.5,1.0,3.1,16.0,60.0,0.5,13.7,0.07,202.0,0.27,1
8.4,1.29,0.003,334.6,14.2,1.8,0.015,0.02,2.0,2.0,0.003,0.015,0.002,53.673999999999985,152.628,21.882,1.2900000000000003,14.232000000000006,17.553,54.93299999999999,2.3555,7.8,0.17578999999999995,205.13,0.25449999999999995,1
8.5,13.4,0.062,489.7,5.9,17.6,0.4127,0.07,18.8,6.7,0.023,0.4127,0.003,96.0,378.4,23.0,5.6,57.0,40.0,69.0,7.72,12.59,0.74,377.0,0.18,1
8.3,0.39,0.002,407.0,5.6,0.5,0.089,0.02,4.5,1.0,0.002,0.089,0.005,56.4,145.2,1.3,0.6,2.0,15.4,52.8,0.34,10.0,0.06,207.0,0.27,0
8.4,0.94,0.008,379.3,15.7,0.5,0.018,0.1,8.1,3.4,0.005,0.018,0.003,20.0,214.5,3.3,1.9,9.6,17.1,58.0,1.57,8.9,0.341,219.0,0.12,1
8.199000000000005,619.0,0.6806500000000005,397.4189999999999,5.747030000000003,582.7590000000001,0.15660000000000002,0.08699999999999995,35.38999999999998,11.2,0.030270000000000005,0.15762,0.008314000000000005,26.966999999999995,201.97399999999988,24.876000000000012,3.8909999999999987,26.984000000000005,14.277000000000001,41.526,5.1745,11.4696,1.3746000000000007,166.57,0.1416,1
8.1,2.11,0.003,440.5,0.8,2.4,0.161,0.04,1.0,1.1,0.002,0.161,0.002,67.6,180.2,5.7,1.1,5.7,19.2,63.6,0.89,13.3,0.195,247.0,0.28,0
8.0,0.62,0.002,397.8,1.2,2.8,0.128,0.04,1.0,0.7,0.002,0.128,0.002,71.0,153.8,1.8,0.8,2.7,17.3,61.7,0.43,12.6,0.092,230.0,0.27,0
8.8,19.8487,0.28,1170.0,20.5,23.0,1.0,0.5,51.354999999999976,16.651999999999997,0.1525799999999999,1.0009199999999998,0.03480399999999999,113.8,467.1,33.4,8.8,137.5,47.7,47.6,19.9,8.0761,1.9395700000000007,310.79,0.20410000000000014,1
8.338,11.622899999999998,0.029,408.55700000000013,15.8,10.438000000000002,0.052,0.06529999999999991,29.986000000000008,8.628999999999989,0.009580000000000007,0.052,0.005,2.1,209.01799999999992,15.250000000000002,2.9180000000000006,19.410999999999998,16.473999999999997,56.68100000000001,3.1973,8.503499999999999,0.4911800000000001,212.03,0.12589999999999998,1
8.1,2.24,0.003,454.0,2.0,2.7,0.09973799999999988,0.056599999999999914,3.0,0.7,0.004,0.10073999999999987,0.004606000000000003,73.313,156.329,26.152000000000008,1.1999999999999995,19.883000000000003,19.060000000000006,59.14900000000001,3.1279000000000012,12.425500000000007,0.13458999999999988,225.5,0.2717,0
8.2,120.0,0.083,301.0,7.3,185.0,0.148,0.05,12.0,3.4,0.003,0.148,0.005,38.8,171.0,0.9,0.6,1.6,12.6,45.1,0.3,11.23,0.28,165.0,0.22,1
8.29699999999999,1.6,0.0030400000000000023,398.03,7.079410000000007,2.5329999999999995,0.05700000000000008,0.019999999999999973,1.243,0.938,0.0024700000000000017,0.05700000000000009,0.0020100000000000014,61.744999999999976,161.68800000000002,15.851,1.114,11.405,17.971999999999998,59.49600000000002,1.8341000000000003,10.3023,0.15710000000000002,224.27,0.2698,0
8.3,2.09,0.003,360.2,12.2,3.5,0.058,0.02,3.9,1.2,0.003,0.058,0.002,52.08900000000003,151.4650000000001,14.122000000000005,1.1649999999999998,10.515,16.779999999999994,55.77400000000001,1.7665000000000006,10.0,0.16155,204.01,0.24359999999999998,0
8.1,1.22,0.002,353.1,0.6,0.5,0.129,0.04,1.0,0.2,0.002,0.129,0.002,47.0,140.3,2.0,0.6,2.4,15.3,50.8,0.42,13.7,0.07,192.0,0.15,0
8.318999999999988,2.3844,0.002,377.12999999999994,8.2,3.755999999999998,0.106,0.04839999999999998,4.3870000000000005,1.556,0.001540000000000001,0.106,0.005,35.2,163.20800000000003,6.0756,1.178,8.808000000000002,15.637999999999995,53.71800000000001,1.5084,10.774500000000003,0.19205000000000005,195.98,0.14125000000000007,0
8.4,4.2,0.006,303.2049999999999,9.927730000000004,5.4990000000000006,0.088,0.05,4.7,2.1,0.002,0.09,0.005,33.8,126.0,2.0,0.5,2.7,12.8,42.7,0.52,10.324900000000003,0.12,161.0,0.11,0
8.2,1.06,0.037,427.6,0.3,3.0,1.172,0.45,1.0,1.7,0.016,1.172,0.002,52.1,147.0,27.7,2.2,22.1,16.8,53.8,3.72,13.5,0.7,200.0,0.14,0
8.3,60.0,0.035,258.8,4.1,151.0,0.168,0.05,15.0,3.9,0.002,0.171,0.005,20.4,134.0,0.3,0.7,2.7,9.7,39.0,0.54,11.719800000000003,0.26,125.0,0.1,0
8.3,0.55,0.0022200000000000015,338.0,5.0,0.8199999999999998,0.05084000000000008,0.01999999999999999,1.1540000000000001,0.8149999999999997,0.0020500000000000015,0.050990000000000084,0.0020000000000000013,64.21800000000002,145.9,10.282999999999998,0.9344000000000006,8.008000000000003,17.672,58.932000000000016,1.3184999999999996,11.240200000000002,0.1496700000000001,220.0,0.27799999999999997,0
8.3,4.7,0.013,340.5,6.1,4.8,0.084,0.05,8.8,2.9,0.002,0.087,0.005,40.1,138.0,5.3,0.8,4.9,14.0,45.4,0.91,9.22,0.2,172.0,0.16,0
8.4,7.112899999999997,0.14,952.0,13.7,3.2,0.18312999999999985,0.11649999999999994,37.979000000000006,11.198000000000002,0.07463000000000002,0.18410999999999988,0.008780000000000003,126.0,420.2,12.7,5.9,94.7,58.0,64.6,12.1,11.970200000000004,0.93,396.62,0.21690000000000015,1
8.2,0.48,0.002,347.4,1.2,2.0,0.131,0.05,2.3,0.6,0.001,0.132,0.005,48.9,134.0,2.3,0.5,2.4,15.1,48.5,0.42,13.23,0.17,179.0,0.14,0
8.4,1.32,0.007,406.1,10.4,0.5,0.13,0.04,4.6,1.9,0.002,0.13,0.0044,47.0,151.9,12.4,1.1,9.6,16.4,53.1,1.63,9.9,0.081,204.0,0.22,1
8.285999999999992,10.6,0.012139999999999998,354.198,13.093609999999998,11.7,0.07497000000000012,0.05229999999999997,4.5,1.7,0.0023000000000000017,0.07503000000000012,0.004520000000000003,43.57999999999997,154.57300000000004,6.227000000000003,1.0097999999999994,5.733999999999997,15.049999999999995,53.267000000000024,0.9831000000000003,9.239799999999997,0.18022,191.96,0.24090000000000006,0
8.3,6.3,0.044,1570.0,0.537,7.0,0.678,0.05,13.0,8.8,0.01,0.678,0.005,344.0,330.0,150.0,6.4,214.0,51.6,67.2,27.8,10.94,0.88,380.0,0.28,1
8.4,3.08,0.011,376.0,13.4,3.5,0.149,0.05,3.3,2.3,0.004,0.149,0.003,58.0,136.0,8.5,0.8,5.7,15.1,51.6,0.99,10.5,0.1,188.0,0.26,1
8.1,4.79,0.011,366.2,1.0,4.9,0.177,0.05,2.5,1.3,0.003,0.186,0.009,48.9,138.1,16.5,1.0,11.9,14.5,49.5,2.1,12.3,0.127,190.0,0.15,1
8.3,3.8,0.027,1023.0,4.4,7.0,1.84,0.05,11.0,5.3,0.006,1.85,0.007,143.0,374.0,74.9,6.2,77.7,57.8,93.4,8.94,12.21,0.85,463.0,0.17,1
8.191000000000004,1490.0,0.9329600000000008,410.13199999999983,5.890160000000002,1729.4759999999997,0.11073000000000002,0.08759999999999994,33.553999999999995,11.0,0.041800000000000004,0.11881599999999992,0.007918000000000005,30.35900000000001,191.56500000000008,28.909000000000024,3.959999999999998,27.863000000000014,17.047000000000008,50.72999999999999,4.942400000000001,11.196399999999993,1.3134500000000002,195.12,0.1397,1
8.3,10.0,0.088,1782.0,8.264,16.5,0.005,0.05,20.8,12.2,0.032,0.007,0.005,232.0,301.0,279.0,7.3,264.0,41.2,60.7,37.0,8.66,1.18,321.0,0.23,1
8.4,1.5,0.006,377.9,18.057,2.0,0.021,0.05,9.5,3.4,0.002,0.021,0.005,16.0,186.0,4.8,1.5,7.8,14.0,52.8,1.36,8.34,0.24,189.0,0.13,1
8.1,12.0,0.019,359.5,14.679,10.8,0.057,0.05,3.4,2.3,0.005,0.057,0.005,61.0,121.0,10.5,0.9,7.8,15.4,46.1,1.4,8.74,0.19,178.0,0.28,1
8.36299999999999,0.91,0.0033500000000000023,377.411,10.829,1.1709999999999998,0.07699999999999997,0.020099999999999965,1.0,0.6860000000000009,0.002920000000000002,0.07701999999999996,0.0020000000000000013,60.54199999999997,160.826,27.577999999999992,1.251,18.389000000000003,18.441,58.516000000000005,3.0092000000000003,9.183400000000006,0.15675000000000008,222.9,0.2553999999999999,0
8.4,8.91,0.027,973.0,9.9,14.8,1.4,0.15,12.6,6.0,0.014,1.4,0.003,140.0,352.4,50.0,5.5,67.0,54.0,75.0,8.34,9.9,0.48,405.0,0.17,1
8.4,0.69,0.008,366.648,17.70097,2.0,0.01,0.05,3.1,1.6,0.004,0.01,0.005,53.6,139.0,3.5,0.7,3.3,16.0,50.1,0.57,8.894300000000001,0.1,191.0,0.28,0
8.4,1.32,0.003,291.4,11.7,0.5,0.072,0.04,2.3,0.9,0.001,0.072,0.002,35.0,118.5,1.5,0.5,2.1,13.0,40.0,0.41,9.9,0.071,152.0,0.08,0
8.2,1.93,0.005,460.6,1.4,3.0,0.151,0.04,1.0,1.3,0.002,0.151,0.002,70.6,182.7,5.6,1.1,5.7,20.5,69.1,0.85,15.1,0.151,252.0,0.33,0
8.21000000000001,3.26,0.008850000000000007,391.5730000000001,7.059719999999999,10.0,0.053980000000000014,0.053099999999999925,7.3,2.4210000000000007,0.003130000000000002,0.05400000000000002,0.005034000000000004,63.00899999999996,139.3575,9.752000000000002,0.9590000000000007,7.063000000000005,15.684999999999995,53.014,1.2149999999999996,10.727599999999997,0.20355,199.65,0.26030000000000014,0
8.1,0.8,0.006,498.4,1.3,0.5,0.28,0.07,1.0,1.0,0.004,0.28,0.002,71.0,187.0,18.0,1.1,7.3,18.3,61.2,1.16,11.5,0.164,246.0,0.3,1
8.4,0.86,0.002,393.0,7.7,0.7,0.032,0.02,1.0,0.6,0.002,0.032,0.002,62.4,164.2,1.9,1.0,2.6,16.7,63.0,0.41,10.1,0.23,254.0,0.28,1
8.3,1.63,0.004,332.3,0.4,0.5,0.117,0.04,1.0,0.9,0.002,0.117,0.002,41.7,146.1,2.6,0.6,2.8,15.3,50.7,0.49,12.1,0.07,188.0,0.14,0
8.3,1.18,0.002,351.7,10.7,2.2,0.059,0.02,1.0,1.1,0.002,0.059,0.002,49.3,153.13850000000002,1.3,0.6,2.2,15.2,57.4,0.37,9.5,0.05927999999999991,204.39,0.23,0
8.2,2.61,0.009,375.9,0.6,3.6,0.13,0.1,2.8,1.0,0.004,0.13,0.0044,45.0,135.3,12.0,0.8,8.5,15.0,53.0,1.46,14.1,0.095,170.0,0.16,1
8.1,12.494499999999999,0.08,2030.0,-1.3,13.0,2.33,0.94,16.235999999999997,9.392999999999999,0.04494999999999998,2.33,0.12172800000000013,288.0,345.7,243.0,8.6,266.0,79.8,136.0,25.6,11.136200000000008,1.06,517.18,0.2985999999999998,1
8.0,8.7,0.059,1045.0,0.0,20.0,1.52,0.1,6.9,3.2,0.025,1.52,0.009,126.0,436.0,32.7,5.8,67.3,58.3,90.8,7.8,11.29,0.5,467.0,0.2,1
8.1,17.742299999999997,0.16,459.0,-1.0,14.6,0.3,0.2,49.13600000000001,12.107999999999999,0.11043999999999995,0.3,0.04500799999999999,15.2,223.1,12.5,11.8,20.9,18.9,51.8,3.52,12.889100000000001,1.1985900000000007,218.11,0.12269999999999992,1
8.1,0.78,0.003,419.0,0.0,0.9,0.03485999999999994,0.01,3.0,0.8,0.003,0.05273,0.023459999999999967,78.4,150.3,2.1,0.7,2.5,16.3,60.7,0.4,12.151499999999999,0.1,218.0,0.27,0
8.307999999999986,1.2,0.0032100000000000023,389.34100000000007,6.499439999999998,1.5999999999999996,0.05501999999999997,0.01999999999999997,1.0,0.8639999999999993,0.002720000000000002,0.05499999999999997,0.0020000000000000013,61.27399999999999,161.721,21.047000000000008,1.133,14.515000000000002,18.322999999999993,59.314000000000014,2.3152000000000013,10.214299999999994,0.14080000000000006,224.39,0.2539999999999999,0
8.2,6.01,0.008,389.7,7.3,13.9,0.087,0.04,1.0,1.2,0.002,0.087,0.002,53.1,161.3,2.3,0.9,3.3,16.0,59.2,0.54,11.5,0.114,223.0,0.28,1
8.3,9.7,0.011,352.092,12.732860000000002,3.3,0.158,0.05,6.0,3.1,0.004,0.158,0.005,47.6,141.0,3.3,0.8,3.4,14.3,51.0,0.6,9.506100000000002,0.15,186.0,0.25,0
7.8,8.6,0.056,1598.0,-0.1,9.7,2.24,0.31,3.8,3.8,0.028,2.24,0.005,267.0,352.0,161.0,6.6,161.0,67.2,122.0,16.6,10.23,0.8,518.0,0.2,1
8.4,11.6,0.049,1035.0,10.2,18.6,0.6987,0.05,11.9,5.7,0.014,0.6987,0.003,150.0,357.0,54.0,5.2,81.0,54.0,79.0,9.93,11.16,0.65,429.0,0.19,1
8.3,14.5,0.024,392.0,13.3,27.6,0.109,0.1,2.8,1.1,0.001,0.109,0.003,48.4,160.8,3.0,1.0,3.5,16.2,56.9,0.58,11.5,0.146,214.0,0.22,1
8.2,0.12,0.002,327.1,2.7,0.5,0.005,0.05,1.0,1.3,0.002,0.006,0.006,23.0,161.1,0.31,0.5,2.4,11.5,48.1,0.44,13.6,0.1,174.0,0.19,0
8.4,6.32,0.01,402.6,14.6,11.8,0.138,0.05,2.6,0.9,0.001,0.138,0.003,63.0,154.6,2.2,0.84,2.8,15.0,56.0,0.47,9.66,0.112,224.0,0.28,1
8.2,2.08,0.05,348.0,-0.4,2.8,0.98,0.39,2.4,1.5,0.026,1.002,0.022,49.6,140.9,10.9,1.5,10.9,14.7,49.3,1.93,13.345300000000002,0.74,186.0,0.15,1
8.1,1.18,0.003,445.0,0.0,1.1249999999999991,0.09673000000000004,0.051299999999999936,3.0,0.7,0.003,0.09728000000000005,0.0037080000000000025,71.494,152.538,24.193,1.2419999999999993,19.250999999999998,18.855000000000004,58.81899999999999,3.0729000000000006,12.748000000000001,0.14623999999999995,222.47,0.26509999999999995,0
8.3,1.36,0.005,399.9,0.1,1.2639999999999998,0.034,0.05,3.9,0.2,0.003,0.034,0.003,12.0,196.0,6.3,1.0,9.2,14.1,57.4,1.54,14.61,0.51,200.0,0.11,0
8.3,2.0,0.007,339.8,3.4,2.1,0.11,0.04,1.0,0.8,0.002,0.11,0.002,47.0,132.5,4.5,0.6,4.6,14.0,48.0,0.83,11.6,0.257,183.0,0.18,0
